Code_Commune,Code_departement,Code_region,prixm2, commune, departement,region,Year,price_predicted
209,12,76,900,SAINT-AMANS-DES-COTS,Aveyron,occitanie,2018,5556.042327725096
137,12,76,490,MANHAC,Aveyron,occitanie,2018,4737.501794542768
128,12,76,1380,LESCURE-JAOUL,Aveyron,occitanie,2018,4635.184227894992
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
28,13,93,2359,LA CIOTAT,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3748.3205215441994
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
5,13,93,1995,AUBAGNE,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2018,3486.8422956665745
437,14,28,1272,MONDEVILLE,Calvados ,Normandie,2018,7435.644043078064
437,14,28,1272,MONDEVILLE,Calvados ,Normandie,2018,7435.644043078064
341,14,28,1404,IFS,Calvados ,Normandie,2018,6344.256665501627
341,14,28,1404,IFS,Calvados ,Normandie,2018,6344.256665501627
94,15,84,1087,LAROQUEBROU,cantal,Auvergne-Rhône-Alpes,2018,4362.854138236609
94,15,84,1087,LAROQUEBROU,cantal,Auvergne-Rhône-Alpes,2018,4362.854138236609
56,15,84,522,CRANDELLES,cantal,Auvergne-Rhône-Alpes,2018,3930.8466346126515
56,15,84,522,CRANDELLES,cantal,Auvergne-Rhône-Alpes,2018,3930.8466346126515
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
196,15,84,1176,SAINT-MAMET-LA-SALVETAT,cantal,Auvergne-Rhône-Alpes,2018,5522.4532269116025
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
14,15,84,1282,AURILLAC,cantal,Auvergne-Rhône-Alpes,2018,3453.3646569229895
77,16,75,1702,CHAMPMILLON,Charente,Nouvelle-Aquitaine,2018,4035.1537014156347
77,16,75,1702,CHAMPMILLON,Charente,Nouvelle-Aquitaine,2018,4035.1537014156347
77,16,75,1702,CHAMPMILLON,Charente,Nouvelle-Aquitaine,2018,4035.1537014156347
166,16,75,1684,L'ISLE-D'ESPAGNAC,Charente,Nouvelle-Aquitaine,2018,5046.960749377147
166,16,75,1684,L'ISLE-D'ESPAGNAC,Charente,Nouvelle-Aquitaine,2018,5046.960749377147
154,16,75,1684,GOND-PONTOUVRE,Charente,Nouvelle-Aquitaine,2018,4910.5373271800345
154,16,75,1684,GOND-PONTOUVRE,Charente,Nouvelle-Aquitaine,2018,4910.5373271800345
199,16,75,2026,MAGNAC-SUR-TOUVRE,Charente,Nouvelle-Aquitaine,2018,5422.125160419033
151,17,75,2026,L'EGUILLE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4875.070188281126
409,17,75,2026,SAINT-SULPICE-DE-ROYAN,Charente-Maritime ,Nouvelle-Aquitaine,2018,7808.173765517771
409,17,75,2026,SAINT-SULPICE-DE-ROYAN,Charente-Maritime ,Nouvelle-Aquitaine,2018,7808.173765517771
409,17,75,2026,SAINT-SULPICE-DE-ROYAN,Charente-Maritime ,Nouvelle-Aquitaine,2018,7808.173765517771
306,17,75,2026,ROYAN,Charente-Maritime ,Nouvelle-Aquitaine,2018,6637.20605832641
323,17,75,2026,SAINT-DENIS-D'OLERON,Charente-Maritime ,Nouvelle-Aquitaine,2018,6830.472573105595
323,17,75,2026,SAINT-DENIS-D'OLERON,Charente-Maritime ,Nouvelle-Aquitaine,2018,6830.472573105595
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
83,17,75,2026,CHAMPAGNE,Charente-Maritime ,Nouvelle-Aquitaine,2018,4102.004129164503
149,18,24,773,MERY-ES-BOIS,Cher ,Centre-Val de Loire,2018,4096.893381976057
149,18,24,773,MERY-ES-BOIS,Cher ,Centre-Val de Loire,2018,4096.893381976057
149,18,24,773,MERY-ES-BOIS,Cher ,Centre-Val de Loire,2018,4096.893381976057
149,18,24,773,MERY-ES-BOIS,Cher ,Centre-Val de Loire,2018,4096.893381976057
246,18,24,773,SAVIGNY-EN-SANCERRE,Cher ,Centre-Val de Loire,2018,5199.649378068862
246,18,24,773,SAVIGNY-EN-SANCERRE,Cher ,Centre-Val de Loire,2018,5199.649378068862
246,18,24,773,SAVIGNY-EN-SANCERRE,Cher ,Centre-Val de Loire,2018,5199.649378068862
185,18,24,773,PRESLY,Cher ,Centre-Val de Loire,2018,4506.163648567162
185,18,24,773,PRESLY,Cher ,Centre-Val de Loire,2018,4506.163648567162
15,18,24,828,AUBIGNY-SUR-NERE,Cher ,Centre-Val de Loire,2018,2573.4985007756623
12,18,24,828,ARGENVIERES,Cher ,Centre-Val de Loire,2018,2539.392645226326
12,18,24,828,ARGENVIERES,Cher ,Centre-Val de Loire,2018,2539.392645226326
67,18,24,828,CLEMONT,Cher ,Centre-Val de Loire,2018,3164.6666636294685
317,21,27,973,IS-SUR-TILLE,Côte-d'Or ,Bourgogne-Franche-Comté,2018,6047.094988916768
638,21,27,887,TIL-CHATEL,Côte-d'Or ,Bourgogne-Franche-Comté,2018,9696.421532687964
638,21,27,887,TIL-CHATEL,Côte-d'Or ,Bourgogne-Franche-Comté,2018,9696.421532687964
545,21,27,887,SAINTE-COLOMBE-SUR-SEINE,Côte-d'Or ,Bourgogne-Franche-Comté,2018,8639.140010660747
545,21,27,887,SAINTE-COLOMBE-SUR-SEINE,Côte-d'Or ,Bourgogne-Franche-Comté,2018,8639.140010660747
142,21,27,887,CHANCEAUX,Côte-d'Or ,Bourgogne-Franche-Comté,2018,4057.586748543079
142,21,27,887,CHANCEAUX,Côte-d'Or ,Bourgogne-Franche-Comté,2018,4057.586748543079
142,21,27,887,CHANCEAUX,Côte-d'Or ,Bourgogne-Franche-Comté,2018,4057.586748543079
142,21,27,887,CHANCEAUX,Côte-d'Or ,Bourgogne-Franche-Comté,2018,4057.586748543079
142,21,27,887,CHANCEAUX,Côte-d'Or ,Bourgogne-Franche-Comté,2018,4057.586748543079
102,24,75,1346,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
102,24,75,1346,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
102,24,75,1346,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
115,24,75,1057,CHATEAU-L'EVEQUE,Dordogne,Nouvelle-Aquitaine,2018,4456.2709382430185
115,24,75,1057,CHATEAU-L'EVEQUE,Dordogne,Nouvelle-Aquitaine,2018,4456.2709382430185
115,24,75,1057,CHATEAU-L'EVEQUE,Dordogne,Nouvelle-Aquitaine,2018,4456.2709382430185
115,24,75,1057,CHATEAU-L'EVEQUE,Dordogne,Nouvelle-Aquitaine,2018,4456.2709382430185
372,24,75,1057,SAINT-ASTIER,Dordogne,Nouvelle-Aquitaine,2018,7378.005896963179
372,24,75,1057,SAINT-ASTIER,Dordogne,Nouvelle-Aquitaine,2018,7378.005896963179
102,24,75,1057,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
102,24,75,1057,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
102,24,75,1057,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
102,24,75,1057,CHANCELADE,Dordogne,Nouvelle-Aquitaine,2018,4308.478897529538
358,28,24,1210,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6459.321818412282
358,28,24,1210,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6459.321818412282
383,28,24,1318,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6743.537281322875
383,28,24,1318,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6743.537281322875
383,28,24,1318,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6743.537281322875
383,28,24,1318,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6743.537281322875
383,28,24,1318,SAINT-PREST,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,6743.537281322875
85,28,24,836,CHARTRES,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,3355.6889634294203
294,28,24,836,OYSONVILLE,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,5731.7302333613625
294,28,24,836,OYSONVILLE,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,5731.7302333613625
201,28,24,836,JOUY,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,4674.448711334262
201,28,24,836,JOUY,Eure-et-Loir ,Centre-Val de Loire. Wikipédia,2018,4674.448711334262
